# /data/jim/alex/VAC/UCH.48h.REF.plateA.n1_AM/A - 06(fld 08 wv Red - Cy5).tif
# cellNo,xcoord,ycoord,size,noVacuoles
0,876,208,92160,10
1,1578,263,51282,6
2,442,373,66780,5
3,292,385,42550,5
4,1397,369,72216,13
5,651,506,85211,6
6,1276,525,83200,10
7,1117,554,112660,13
8,910,565,23664,1
9,1521,594,61612,10
10,377,552,2280,0
11,1484,799,65274,9
12,1706,734,58310,11
13,557,795,279,1
14,590,890,54253,2
15,753,879,34933,5
16,1596,997,69832,9
17,1290,1034,62856,5
18,802,1174,27888,0
19,1370,1171,68685,7
20,898,1315,412323,4
21,1665,1151,99000,19
22,1381,1270,104040,7
23,1602,1357,82498,9
24,352,1327,41730,5
25,310,1564,41406,3
26,860,1631,41925,6
27,1248,1763,61160,1
28,597,1737,31977,1
29,975,1783,35820,2
30,1518,1795,25628,6
31,1715,1808,35571,3
32,690,1887,18900,1
33,198,1806,134,1
34,230,1813,73682,5
35,1916,1912,20294,6
