# /data/jim/alex/VAC/UCH.48h.REF.plateA.n1_AM/A - 08(fld 07 wv Red - Cy5).tif
# cellNo,xcoord,ycoord,size
0,750,770,198
0,864,810,306
0,813,896,1560
0,1040,898,270
0,1009,935,896
0,832,935,912
0,916,958,1769
0,989,972,510
0,856,973,209
0,804,993,224
0,1061,1015,187
0,853,1034,676
0,847,1267,231
3,1454,882,256
3,1399,917,364
3,1401,938,1037
3,1438,1010,494
3,1528,1013,616
3,1312,1089,4692
3,1275,1127,624
3,1389,1128,1083
3,1319,1156,4264
3,1344,1185,1352
4,1312,1088,4154
4,1272,1126,255
4,1491,1301,575
4,1469,1299,176
4,1541,1329,2968
4,1495,1323,196
4,1412,1352,3381
4,1493,1356,1786
4,1521,1387,2009
4,1462,1398,2024
4,1557,1414,160
5,593,1139,180
5,655,1181,418
5,676,1215,486
5,633,1234,806
5,848,1268,200
5,614,1279,494
5,587,1314,275
5,568,1343,192
5,512,1390,975
5,974,1518,204
5,896,1547,345
5,673,1562,1900
5,694,1608,608
5,581,1610,418
5,729,1621,651
5,853,1648,4158
5,745,1659,234
5,831,1669,306
5,780,1677,810
5,682,1685,242
5,598,1692,306
