# /data/jim/alex/VAC/UCH.48h.REF.plateA.n1_AM/B - 08(fld 02 wv Red - Cy5).tif
# cellNo,xcoord,ycoord,size
1,277,153,525
1,250,168,819
1,290,173,380
2,1408,167,182
2,1437,190,180
2,1478,221,196
2,1347,243,1023
2,1375,269,154
2,1400,275,432
3,1125,206,288
3,1088,216,399
3,1008,222,399
3,1133,233,156
3,1146,274,260
3,1101,280,600
3,1115,309,594
3,1068,313,192
3,1088,316,300
3,1056,341,168
3,1086,351,441
3,1028,355,260
3,1149,360,288
3,1056,383,225
4,1720,224,210
4,1737,250,225
4,1757,266,156
4,1745,293,180
4,1761,294,156
4,1715,310,1054
4,1648,309,525
4,1649,334,165
4,1671,347,832
5,796,209,153
5,842,214,187
5,852,273,575
5,812,290,468
5,843,302,306
5,895,298,242
5,869,309,306
5,802,350,221
6,564,334,1596
6,531,326,486
6,504,354,1520
6,545,341,198
6,542,367,255
6,475,372,224
6,572,379,187
6,526,392,399
6,476,394,320
6,553,397,144
7,1650,334,176
7,1671,347,832
7,1573,351,224
7,1520,374,270
7,1549,413,450
7,1556,437,1305
7,1534,456,176
7,1610,481,440
8,286,369,3381
8,242,393,525
8,321,422,1320
9,1534,456,160
9,1396,491,589
9,1447,497,238
9,1368,504,625
9,1472,500,306
9,1420,503,154
9,1374,533,405
9,1354,537,575
9,1492,558,208
9,1356,562,168
9,1433,575,414
9,1350,583,208
9,1426,617,342
9,1402,622,368
10,383,472,162
10,370,484,200
10,364,507,665
10,395,511,621
10,378,529,504
10,312,593,550
11,1773,486,113
12,1817,500,144
12,1753,525,2968
12,1838,510,168
12,1793,548,240
12,1806,552,342
12,1829,583,1066
12,1879,582,240
12,1802,610,221
12,1814,624,1056
12,1855,639,288
12,1824,653,1430
12,1784,664,390
12,1745,672,140
12,1809,676,276
13,605,642,2394
14,1423,694,182
14,1426,732,2184
14,1556,730,252
14,1476,745,342
14,1545,757,962
14,1504,759,680
14,1465,772,285
14,1505,781,300
14,1457,796,272
14,1484,799,273
14,1508,801,168
16,1220,797,432
17,629,731,156
17,575,741,378
17,610,785,450
17,665,792,132
17,594,852,156
18,270,806,375
18,261,827,288
18,309,826,170
19,1220,797,432
19,1228,839,1295
19,1118,839,315
19,1192,844,273
19,1148,865,195
19,1202,868,240
19,1118,869,160
20,1664,806,182
20,1712,873,576
21,1457,796,272
21,1376,830,352
21,1313,864,285
21,1357,894,522
21,1311,901,390
21,1408,895,143
21,1412,919,306
22,1934,840,228
22,1935,875,540
22,1907,878,576
22,1881,918,312
22,1972,925,300
22,1972,975,630
23,244,915,550
23,379,937,352
23,287,946,378
23,374,958,160
23,284,964,567
23,311,959,180
23,237,963,264
23,337,982,360
23,309,987,210
25,440,904,176
25,500,918,384
26,1244,932,5720
26,1123,949,272
26,1118,976,392
26,1241,994,210
27,1040,893,154
27,1082,912,288
27,1098,947,204
28,487,987,1620
28,556,1018,2380
28,479,1093,1064
29,1241,994,225
29,1293,1010,483
29,1219,1039,832
29,1186,1081,195
30,294,1073,972
30,243,1090,825
30,315,1088,425
30,275,1094,483
30,232,1132,150
30,265,1134,225
30,199,1146,286
30,284,1153,405
30,199,1164,260
30,256,1163,195
30,284,1184,1036
30,211,1196,760
30,352,1204,544
30,322,1208,210
30,298,1212,475
30,244,1213,532
30,337,1231,221
30,293,1240,285
31,594,852,156
31,441,904,160
31,499,918,345
31,379,937,352
31,486,987,1769
31,556,1018,2448
31,376,1028,627
31,521,1078,440
31,479,1093,1064
32,1293,1169,221
32,1191,1179,180
32,1335,1208,143
32,1213,1220,960
32,1276,1223,1155
32,1321,1254,408
32,1275,1277,2400
32,1165,1281,405
33,1219,797,450
33,1236,809,143
33,1229,839,1330
33,1118,837,459
33,1172,842,208
33,1192,844,273
33,1148,866,224
33,1202,868,240
33,1118,869,187
33,1110,888,391
33,1040,893,154
33,1243,932,5418
33,1082,912,288
33,1098,947,204
33,1123,949,272
33,1118,976,392
33,1241,994,225
33,1219,1039,832
33,1186,1081,195
33,1270,1163,190
33,1191,1179,192
33,1213,1220,960
33,1276,1220,357
34,1061,1236,667
