# /data/jim/alex/VAC/UCH.48h.REF.plateA.n1_AM/B - 08(fld 11 wv Red - Cy5).tif
# cellNo,xcoord,ycoord,size,noVacuoles
0,883,34,4288,0
1,1271,146,29353,4
2,892,293,92855,11
3,252,400,50388,5
4,817,512,135792,20
5,1272,417,28120,5
6,1471,631,332100,23
7,1098,406,106463,12
8,1404,498,34040,2
9,1137,500,1,0
10,1147,492,20,0
11,1149,493,378,0
12,1154,493,26,0
13,1148,554,26969,4
14,1260,666,49203,7
15,1479,730,39480,4
16,1668,815,33642,4
17,1923,826,44103,7
18,1144,872,33115,5
19,1367,924,44422,2
20,538,898,28480,1
21,1619,1014,99820,11
22,520,776,467735,22
23,775,1058,47250,7
24,1089,1082,27936,5
25,1442,1119,57723,8
26,1906,1123,36300,4
27,476,1260,174675,27
28,1234,984,902700,94
29,270,1184,44118,7
30,568,1224,37185,5
31,777,1228,25688,2
32,1093,1309,48590,4
33,1314,1274,41,0
34,1294,1274,1748,0
35,1303,1325,23858,2
36,1647,1317,80190,19
37,1434,1314,40128,7
38,163,1345,46125,7
39,567,1421,41810,7
40,798,1315,125584,10
41,1399,1440,36652,3
42,964,1468,73920,11
43,1261,1459,18906,1
44,302,1450,70920,8
45,1773,1504,40848,6
46,796,1546,81969,6
47,1433,1559,22185,1
48,331,1636,76814,8
49,1236,1704,57250,3
50,614,1658,154415,13
51,97,1722,21888,2
52,269,1600,184500,26
53,1354,1632,78637,4
54,1730,1778,25168,1
55,1938,1797,63650,11
56,403,1862,37228,3
57,759,1763,48832,7
58,57,1811,3690,1
59,101,1856,33024,3
60,905,1780,35108,0
61,1531,1926,54288,10
62,874,1946,42,0
