# /data/jim/alex/VAC/UCH.48h.REF.plateA.n1_AM/C - 02(fld 12 wv Red - Cy5).tif
# cellNo,xcoord,ycoord,size,noVacuoles
0,100,166,33003,5
1,1597,150,14351,0
2,1055,151,36890,4
3,865,208,26544,0
4,1235,148,28675,2
5,459,155,55660,6
6,1489,296,17272,1
7,620,370,24640,2
8,139,389,17136,0
9,790,376,49494,9
10,432,405,54205,6
11,1779,464,23472,1
12,1012,450,67519,5
13,1330,695,44528,3
14,1841,816,45288,8
15,1236,827,38610,0
16,166,859,20572,1
17,1034,885,28545,6
18,1576,932,25159,1
19,1753,983,15301,0
20,907,988,26832,2
21,1013,1033,30912,5
22,1410,882,408114,24
23,1171,1085,54080,6
24,690,1111,64414,6
25,1559,1155,94122,4
26,957,1189,50880,10
27,1872,1208,34850,0
28,1526,1214,25754,1
29,1188,1216,44929,4
30,574,1178,84370,17
31,1677,1224,24021,3
32,1343,1245,23944,3
33,1138,1278,27342,2
34,1818,1276,30794,0
35,1581,1325,23079,3
36,250,1276,25988,2
37,792,1348,25696,2
38,485,1352,22657,6
39,1167,1439,155379,21
40,1719,1345,23718,4
41,1443,1318,42630,5
42,1917,1361,35133,6
43,1289,1353,440,0
44,1253,1433,44730,10
45,677,1353,508970,44
46,1558,1452,24633,2
47,1857,1465,33425,9
48,1701,1465,14934,2
49,342,1465,28700,3
50,1377,1463,21840,4
51,1161,1495,25632,5
52,1467,1499,25283,5
53,1007,1581,18487,2
54,1158,1592,17082,4
55,1892,1609,34504,5
56,1361,1592,25521,4
57,1690,1611,113886,10
58,1547,1656,31820,4
59,1284,1617,60135,9
60,1414,1671,10600,2
61,1094,1681,30720,4
62,923,1688,31208,3
63,1247,1747,19684,2
64,1157,1788,29808,4
65,919,1848,71162,5
66,1369,1759,130788,17
67,1033,1831,29925,4
68,1534,1863,61180,12
