# /data/jim/alex/VAC/UCH.48h.REF.plateA.n1_AM/C - 11(fld 06 wv Red - Cy5).tif
# cellNo,xcoord,ycoord,size
0,938,103,7134
0,769,101,975
0,890,102,234
0,825,156,1845
0,910,173,154
1,1195,142,338
1,1130,164,3575
1,1171,152,256
1,1073,179,204
1,1201,199,285
1,1095,205,324
1,1188,216,285
1,1091,226,357
2,765,630,208
2,683,657,130
2,753,658,315
2,773,672,627
2,703,716,280
2,703,742,420
3,1372,729,168
3,1437,729,195
3,1467,751,374
3,1412,764,840
3,1437,758,285
3,1369,762,405
3,1496,775,598
3,1397,786,180
3,1352,811,154
3,1465,812,216
3,1406,832,1036
3,1519,858,513
3,1435,859,240
3,1492,872,280
3,1373,881,323
3,1401,880,224
3,1393,897,171
3,1508,899,225
3,1440,911,384
4,703,742,207
4,694,776,280
4,633,831,225
4,656,850,450
4,623,852,405
4,776,854,168
4,631,879,756
4,753,873,576
4,671,888,696
4,701,897,682
4,582,899,169
4,750,907,336
4,719,919,378
5,197,839,900
5,111,849,168
5,140,850,180
5,211,885,357
6,462,897,336
6,491,902,713
6,430,916,2070
6,485,933,190
6,409,947,437
6,420,964,1188
6,484,964,224
6,464,970,462
6,581,970,340
6,494,980,312
6,446,983,294
6,576,1001,1036
6,472,995,208
6,428,1017,289
6,524,1044,759
6,479,1054,306
7,1038,1002,238
7,1010,1007,396
7,1016,1030,441
7,1057,1059,380
7,1018,1077,187
8,318,1071,2211
8,354,1106,1080
8,296,1102,462
8,338,1138,360
8,249,1156,494
8,217,1157,350
8,330,1166,340
8,259,1201,204
8,210,1210,399
9,1057,1059,380
9,1018,1077,198
9,1059,1090,162
10,1672,1095,180
10,1633,1134,300
10,1691,1135,238
10,1635,1153,204
10,1626,1164,195
11,1844,1055,408
11,1864,1096,2401
11,1819,1118,2730
11,1895,1107,432
11,1752,1135,792
11,1884,1144,756
11,1776,1138,266
11,1769,1180,875
12,129,1122,361
12,177,1127,360
12,197,1143,323
12,146,1149,238
12,249,1156,494
12,217,1157,400
12,112,1177,252
12,259,1201,204
12,212,1213,780
12,170,1207,448
12,113,1221,247
12,221,1226,728
12,195,1237,289
12,161,1257,294
12,152,1277,620
13,1390,1211,580
13,1379,1243,414
13,1423,1269,920
14,526,1257,288
14,460,1276,780
14,503,1281,238
14,521,1287,1080
14,578,1288,323
14,585,1330,2548
14,552,1319,936
14,423,1333,306
14,549,1372,868
14,500,1373,646
14,584,1374,231
14,609,1380,868
14,569,1385,198
15,1410,1269,400
15,1337,1303,300
15,1358,1304,264
15,1344,1357,273
16,1198,1284,528
16,1237,1304,1680
16,1175,1312,336
16,1159,1311,192
16,1206,1329,306
16,1247,1342,350
16,1211,1391,540
17,549,1372,868
17,500,1373,646
17,569,1385,180
17,520,1398,220
17,571,1403,180
17,545,1405,448
17,525,1419,165
17,505,1450,5886
18,548,1373,380
18,584,1374,231
18,595,1387,2790
18,569,1385,198
18,520,1398,220
18,545,1405,462
18,525,1419,180
18,551,1434,336
18,657,1464,276
18,619,1484,1720
18,660,1511,260
18,694,1531,899
19,1620,1449,1326
19,1586,1450,300
19,1679,1480,630
19,1614,1491,220
19,1595,1503,240
19,1657,1524,702
19,1692,1567,928
19,1646,1589,176
19,1630,1606,198
20,154,1562,168
20,81,1595,360
20,81,1624,600
20,116,1651,3024
20,147,1639,720
20,176,1651,1216
21,1812,1539,322
21,1790,1542,702
21,1843,1552,483
21,1767,1584,204
21,1767,1605,408
21,1780,1625,240
22,694,1502,240
22,694,1531,1200
23,1524,1667,3933
23,1476,1696,340
23,1453,1723,4012
24,405,1797,288
24,422,1802,252
24,384,1801,198
24,451,1808,216
24,344,1823,555
24,372,1817,486
24,460,1827,1056
24,484,1845,224
24,333,1849,168
24,488,1873,360
24,469,1876,323
24,340,1903,1525
24,414,1882,195
24,322,1891,280
24,468,1918,702
24,510,1927,714
24,430,1917,154
24,373,1935,160
24,455,1939,1012
24,390,1954,868
24,365,1949,224
24,413,1970,308
25,745,1931,1295
25,706,1936,294
25,761,1967,299
26,195,1863,156
26,187,1920,260
27,1790,1882,435
27,1855,1918,220
27,1788,1915,192
27,1803,1951,1344
28,1425,1881,189
28,1479,1883,306
28,1410,1892,182
28,1387,1911,783
28,1507,1910,280
28,1368,1941,378
28,1528,1948,675
28,1495,1949,506
28,1420,1951,234
28,1458,1959,506
28,1401,1963,336
