# /data/jim/alex/VAC/UCH.48h.REF.plateA.n1_AM/D - 05(fld 07 wv Red - Cy5).tif
# cellNo,xcoord,ycoord,size
0,1739,64,116
3,1741,76,375
3,1765,87,552
3,1705,113,486
3,1676,126,342
3,1712,148,204
3,1678,210,374
5,1393,204,220
6,1712,148,204
6,1687,168,242
6,1616,184,224
6,1638,199,231
6,1678,210,374
6,1606,209,195
6,1701,237,352
6,1671,278,192
6,1566,305,858
6,1612,300,221
6,1664,305,713
6,1726,309,323
6,1647,312,372
7,1071,268,578
7,1024,276,494
7,1100,280,285
7,1008,305,154
7,1121,333,806
7,1112,363,216
7,1028,376,224
7,1068,384,1196
7,1142,407,210
8,1641,302,6630
8,1566,304,825
8,1612,300,187
8,1728,310,528
8,1594,397,648
9,1388,299,740
9,1472,323,440
10,328,192,361
10,326,236,171
10,329,252,140
10,302,264,168
10,343,285,192
10,311,291,198
10,358,312,176
10,327,410,336
11,1143,408,440
11,1271,437,294
11,1297,444,196
11,1272,455,294
11,1271,497,224
13,807,494,255
13,833,504,374
13,777,538,375
13,799,547,575
13,820,570,286
13,738,585,156
13,777,590,441
13,809,589,504
13,904,601,1596
13,826,609,910
13,776,612,399
13,920,619,252
13,869,629,437
13,897,646,868
13,811,652,660
13,865,666,207
14,396,714,651
14,462,715,195
14,375,723,323
14,428,735,814
14,363,741,288
14,381,748,240
14,408,754,528
14,358,785,800
14,385,802,672
14,418,835,891
14,459,834,368
15,1265,743,315
15,1299,757,216
15,1181,795,589
17,1855,823,240
17,1809,836,864
17,1899,861,418
17,1756,863,322
17,1789,930,252
17,1741,981,6900
17,1900,940,196
17,1862,946,220
17,1890,955,210
17,1773,962,156
17,1866,966,195
17,1789,970,180
17,1831,981,320
18,1756,863,322
18,1609,891,1480
18,1646,906,1353
18,1566,906,342
18,1574,926,380
18,1789,930,252
18,1740,981,6785
18,1591,945,182
18,1519,947,180
18,1618,950,306
18,1773,962,156
18,1789,970,180
18,1595,982,240
18,1601,1023,646
18,1582,1042,240
18,1620,1044,286
18,1710,1116,437
18,1742,1114,238
21,1308,960,399
21,1359,1001,414
21,1238,1031,160
21,1238,1100,1116
21,1288,1112,168
21,1260,1120,192
21,1316,1152,378
22,399,952,702
22,347,997,825
22,396,1028,2236
22,295,1014,361
22,341,1022,288
22,363,1022,270
22,293,1047,169
22,427,1077,992
22,418,1137,195
22,234,1144,266
22,295,1151,336
22,367,1157,324
22,311,1162,336
22,310,1188,1406
22,345,1180,280
22,280,1185,361
22,255,1194,364
22,229,1221,729
22,328,1227,416
22,297,1236,192
22,255,1240,306
22,207,1251,210
22,237,1253,399
22,312,1255,255
22,293,1274,810
22,260,1271,204
23,1739,1008,2014
23,1840,1071,3876
23,1710,1116,437
23,1742,1114,238
23,1731,1139,696
23,1887,1181,462
23,1726,1208,7029
23,1864,1216,144
23,1659,1258,169
24,1213,1025,544
24,1237,1031,176
24,1221,1068,374
24,1238,1100,1116
24,1260,1120,192
24,1213,1161,1764
24,1104,1165,325
25,534,1041,288
25,541,1060,192
25,577,1059,165
25,595,1101,238
26,1177,1200,399
26,1211,1213,324
26,1154,1227,374
26,1241,1233,780
26,1134,1233,176
26,1258,1285,676
26,1101,1298,468
26,1138,1321,504
26,1217,1340,300
29,1726,1208,7200
29,1612,1182,165
29,1577,1192,224
29,1570,1235,609
29,1659,1257,1155
29,1615,1258,1276
29,1553,1261,552
29,1538,1276,160
29,1672,1289,210
30,1076,1242,208
30,1101,1298,468
30,983,1345,700
30,982,1369,506
30,1001,1373,196
30,1079,1383,196
30,1067,1404,832
30,998,1419,651
30,1024,1433,192
31,882,1462,204
32,1817,1429,1092
32,1854,1497,703
33,399,1438,2700
33,445,1447,195
33,312,1486,288
34,1541,1434,210
34,1595,1441,418
34,1574,1451,450
34,1622,1460,1209
34,1552,1453,182
34,1568,1478,154
34,1533,1508,4278
34,1652,1485,336
34,1590,1517,312
34,1533,1564,1920
34,1608,1569,182
34,1519,1582,252
34,1599,1598,440
35,311,1485,576
35,278,1489,828
35,213,1559,255
35,336,1584,400
35,234,1588,289
35,273,1602,462
35,313,1598,228
36,464,1613,324
36,517,1699,288
36,428,1708,462
36,451,1719,432
36,496,1715,154
37,980,1748,168
37,962,1767,615
37,1061,1758,580
38,1532,1723,323
38,1588,1756,360
38,1572,1853,1056
38,1551,1886,144
39,896,1714,360
39,831,1732,832
39,884,1757,1120
39,963,1767,574
39,824,1796,154
40,1953,1709,832
40,1942,1758,432
40,1971,1765,168
41,1343,1911,4355
