# /data/jim/alex/VAC/UCH.48h.REF.plateA.n1_AM/D - 06(fld 11 wv Red - Cy5).tif
# cellNo,xcoord,ycoord,size,noVacuoles
0,1932,200,3219,0
1,1933,238,6417,0
2,319,223,13407,0
3,398,365,48195,2
4,201,398,44576,4
5,929,463,95480,10
6,542,450,56100,2
7,362,541,58515,3
8,706,515,102204,4
9,1125,561,91656,8
10,179,530,67,0
11,172,595,67626,2
12,273,732,76814,4
13,581,810,42108,1
14,1783,795,67284,4
15,1595,833,29177,0
16,283,907,81270,3
17,1890,925,95354,14
18,1203,1179,74683,4
19,152,1248,75525,3
20,1404,1453,87075,4
21,669,1439,11160,0
22,321,1960,35760,3
