# /data/jim/alex/VAC/UCH.48h.REF.plateA.n1_AM/E - 02(fld 05 wv Red - Cy5).tif
# cellNo,xcoord,ycoord,size,noVacuoles
0,1837,217,37989,4
1,1269,201,45136,8
2,1097,279,50561,7
3,1480,398,47730,5
4,1242,387,44775,3
5,957,387,53815,6
6,767,460,147810,16
7,1099,496,54707,8
8,1887,555,44178,12
9,1511,617,38784,3
10,350,639,84949,16
11,1181,691,34645,5
12,981,743,34176,10
13,333,827,73656,13
14,769,811,69276,9
15,1251,882,46592,5
16,928,889,27692,3
17,626,972,41888,6
18,128,985,28362,4
19,1396,1013,26080,2
20,550,1142,73320,16
21,1344,1136,28336,3
22,1970,1238,24716,0
23,945,1269,38592,3
24,217,1360,38502,8
25,709,1366,22032,1
26,281,1533,49469,7
27,492,1487,53110,23
28,128,1550,21608,2
29,456,1571,85581,26
30,744,1592,60865,5
31,200,1698,54142,9
32,1874,1734,27556,3
33,349,1768,33196,9
34,545,1734,37961,8
35,768,1905,42749,5
36,1602,1892,37036,4
37,609,1917,23760,3
