# /data/jim/alex/VAC/UCH.48h.REF.plateA.n1_AM/E - 07(fld 11 wv Red - Cy5).tif
# cellNo,xcoord,ycoord,size
0,1417,79,814
0,1438,92,399
0,1380,104,272
0,1278,156,6290
0,1390,158,961
0,1480,191,462
0,1243,239,8645
0,1335,283,756
0,1364,304,1504
1,1628,218,551
1,1723,229,552
1,1596,246,624
1,1646,259,224
1,1658,325,544
2,1595,248,483
2,1564,247,200
2,1646,258,165
2,1334,283,783
2,1364,304,1551
2,1662,326,325
2,1491,344,522
2,1540,362,1248
2,1412,396,240
2,1498,412,168
2,1677,428,552
2,1423,429,323
2,1628,459,1480
2,1457,471,182
2,1363,485,228
3,423,275,840
3,562,317,544
3,390,318,966
3,511,338,1120
3,334,384,1116
3,586,392,460
3,608,430,360
3,503,428,315
3,474,462,1530
3,513,472,945
3,474,498,182
3,413,564,432
4,1278,435,1764
4,1243,431,225
4,1251,472,1302
4,1211,472,204
4,1186,476,165
4,1362,487,875
4,1276,479,180
4,1289,525,567
4,1179,545,1040
4,1338,546,462
4,1239,550,672
5,1629,460,840
5,1457,471,182
5,1362,487,1102
5,1597,491,638
5,1500,562,270
5,1417,598,3721
5,1581,603,2040
5,1545,622,256
5,1630,631,225
6,1553,682,348
6,1420,690,550
6,1473,706,264
6,1501,712,276
6,1472,730,320
6,1414,786,1836
6,1467,802,700
6,1518,795,247
7,1817,753,756
7,1894,839,1850
7,1959,855,224
7,1788,866,627
7,1825,881,435
8,1553,794,527
8,1517,794,187
8,1562,829,1820
9,1754,750,3920
9,1712,715,198
9,1629,743,812
9,1825,755,242
9,1694,780,420
9,1774,786,496
9,1660,828,2537
9,1787,866,504
9,1721,884,1230
9,1718,955,400
9,1740,989,208
10,1180,879,2352
10,1137,876,182
10,1102,925,990
10,1166,951,460
10,1041,995,506
10,1126,1017,713
10,1129,1055,8667
10,1189,1027,416
10,1006,1040,420
10,1220,1107,3825
10,1038,1085,1369
10,1316,1103,3008
10,1154,1158,13580
10,1084,1108,300
10,1120,1124,272
10,1237,1182,3024
10,1139,1227,3538
10,1069,1266,1802
10,1188,1267,336
10,1300,1274,180
10,1127,1281,440
10,1204,1281,154
10,1288,1286,180
11,1133,1261,9360
11,1065,1269,4446
11,1093,1312,600
11,1172,1325,456
11,1007,1327,304
11,1131,1340,399
11,1064,1349,520
11,1107,1362,551
11,1070,1413,1450
11,1147,1413,651
11,1128,1432,391
11,1138,1501,600
11,1154,1545,361
11,1078,1570,1530
11,1158,1566,300
11,1080,1665,3960
12,835,1055,756
12,825,1090,450
12,738,1099,266
12,822,1123,3240
12,657,1204,170
12,683,1220,1078
12,767,1224,567
12,731,1266,828
12,800,1285,532
12,679,1303,600
13,1300,1274,180
13,1376,1285,504
13,1395,1412,1377
14,1204,1281,154
14,1287,1287,132
14,1093,1312,600
14,1291,1312,256
14,1236,1315,270
14,1178,1325,1092
14,1131,1341,378
14,1302,1379,6596
14,1108,1362,522
14,1166,1431,6554
14,1227,1419,899
14,1293,1437,930
14,1446,1468,506
14,1305,1538,26358
14,1196,1476,190
14,1138,1501,576
14,1422,1529,247
14,1154,1545,342
14,1077,1569,1344
14,1296,1625,648
14,1394,1653,1584
14,1321,1652,312
14,1426,1698,495
14,1104,1748,1275
14,1346,1768,1290
14,1404,1779,630
14,1437,1821,660
14,1358,1830,216
14,1391,1832,240
