# /data/jim/alex/VAC/UCH.48h.REF.plateA.n1_AM/F - 02(fld 12 wv Red - Cy5).tif
# cellNo,xcoord,ycoord,size
1,996,186,342
2,1324,136,176
2,1336,142,130
3,965,93,285
3,901,109,952
3,981,131,874
3,949,131,289
3,849,174,406
3,996,186,400
4,398,196,576
4,611,248,360
4,548,255,714
4,517,256,558
4,598,264,165
4,669,269,252
4,619,284,240
4,661,288,323
4,646,319,156
4,581,368,1221
4,681,372,1184
4,497,383,392
4,630,418,3248
4,575,401,340
4,551,415,210
4,558,449,240
4,756,533,891
5,1185,278,224
5,968,300,1932
5,1098,330,280
5,1000,373,7144
5,1134,375,308
5,1121,416,396
5,1071,417,345
5,1155,426,150
5,1100,445,256
5,970,450,221
5,1124,451,238
5,986,466,560
5,954,464,276
6,1220,262,620
6,1252,282,2040
6,1185,278,288
6,1208,280,242
6,1212,300,330
6,1277,305,522
7,816,354,300
7,861,388,540
7,881,397,182
7,792,405,315
8,1308,449,198
9,1234,443,4941
10,1308,449,187
10,1246,506,400
10,1211,513,768
10,1253,524,475
10,1279,544,1680
10,1264,578,770
10,1321,584,870
10,1196,615,1680
10,1276,625,1248
10,1335,627,1170
10,1182,644,476
10,1290,649,180
11,1121,416,396
11,1071,417,345
11,1100,445,256
11,970,450,221
11,1124,451,238
11,986,466,560
11,954,464,276
11,1126,507,2331
11,1112,587,9588
11,1019,602,868
11,883,641,364
11,1094,642,288
11,906,649,576
11,1120,675,300
11,917,697,165
12,1869,527,874
12,1898,563,221
12,1897,593,324
13,862,472,1961
13,879,523,2622
13,756,533,891
13,723,543,528
13,712,570,2254
13,739,560,342
13,781,575,1290
13,761,596,522
13,708,590,195
13,882,594,468
13,809,602,286
13,784,607,357
13,712,608,204
13,673,614,255
13,859,621,493
13,748,624,456
13,772,627,162
14,1259,282,1450
14,1277,305,522
14,1308,450,228
14,1327,455,187
14,1246,506,400
14,1254,524,520
14,1279,544,1680
14,1264,578,770
14,1320,585,930
14,1276,625,1248
14,1335,627,1312
14,1377,623,210
15,747,538,221
15,1111,585,10890
15,1276,548,377
15,739,560,361
15,781,575,1290
15,1264,578,770
15,726,583,286
15,761,596,522
15,885,594,576
15,1019,601,837
15,809,602,286
15,784,608,378
15,1196,615,1652
15,859,621,493
15,747,624,475
15,772,627,171
15,888,639,930
15,1094,642,210
15,1182,644,592
15,906,649,576
15,838,666,2622
15,1166,658,260
15,1228,669,966
15,875,685,713
15,917,697,165
15,1046,853,480
15,1072,869,528
15,1150,899,2967
15,1047,885,496
15,994,895,440
15,1210,921,272
15,988,932,1295
15,1016,940,126
15,1156,938,171
15,1228,979,280
15,1046,987,378
15,1267,989,759
15,867,1017,264
15,854,1084,1312
15,860,1106,238
16,784,607,357
16,712,608,204
16,673,614,255
16,859,621,493
16,748,624,456
16,888,639,868
16,709,649,3087
16,906,649,576
16,839,666,2576
16,875,685,651
16,917,697,154
17,1413,271,448
17,1266,281,400
17,1277,305,522
17,1317,452,703
17,1258,520,176
17,1279,544,1680
17,1265,578,693
17,1320,585,930
17,1279,632,2907
17,1401,619,322
17,1335,627,1376
17,1377,621,323
17,1354,660,792
17,1421,661,624
17,1395,671,665
17,1347,675,361
17,1283,684,400
17,1326,751,18135
17,1443,698,288
17,1274,757,324
17,1424,775,336
17,1598,863,1254
17,1665,855,315
17,1522,885,4740
17,1379,882,294
17,1357,895,294
17,1379,913,289
17,1548,936,928
17,1524,957,512
18,1424,775,336
18,1379,882,294
19,1241,758,169
19,1194,790,171
19,1210,921,272
19,1228,979,280
19,1267,989,759
19,1329,1006,408
20,1045,853,400
20,1072,869,528
20,1149,888,1716
20,1047,885,496
20,994,895,418
20,1143,921,350
20,989,932,1224
20,1156,938,171
20,1046,987,360
21,1379,882,294
21,1357,895,294
21,1379,913,289
21,1329,1005,330
22,320,942,216
