# /data/jim/alex/VAC/UCH.48h.REF.plateA.n1_AM/F - 03(fld 12 wv Red - Cy5).tif
# cellNo,xcoord,ycoord,size,noVacuoles
0,1120,113,34740,8
1,317,165,91296,15
2,1968,168,19866,0
3,1762,208,28860,4
4,961,218,34740,4
5,1517,237,72192,9
6,1198,268,15360,0
7,778,364,29520,4
8,874,331,1330,0
9,1399,367,262395,18
10,1327,428,26896,1
11,96,454,15301,0
12,684,517,37762,4
13,1003,524,41138,9
14,548,550,13653,1
15,301,561,34983,8
16,1422,620,14500,2
17,973,633,13125,3
18,1728,733,179896,11
19,889,592,69133,15
20,733,631,16714,1
21,611,597,109802,12
22,1074,664,19608,6
23,482,701,17472,1
24,697,728,67716,8
25,345,727,142896,24
26,1287,645,254436,26
27,1054,801,33231,3
28,890,806,59690,6
29,1206,833,53984,14
30,1818,830,40788,4
31,1438,843,27984,3
32,269,926,21960,1
33,675,930,11931,1
34,464,930,16104,1
35,574,1000,27768,3
36,1028,998,31680,7
37,1364,987,28917,1
38,61,988,13110,2
39,1686,973,19220,2
40,273,1034,21420,2
41,1168,1048,46930,8
42,1956,1041,13104,1
43,1597,1044,20520,2
44,713,1085,20562,2
45,1330,1135,333750,41
46,994,1197,53066,6
47,1769,1150,41814,3
48,819,1187,32595,0
49,1512,1192,17780,1
50,423,1204,28224,5
51,255,1216,41065,3
52,1360,1229,38208,6
53,1192,1258,27029,1
54,630,1252,27221,3
55,88,1259,16974,2
56,1603,1301,37448,7
57,291,1335,70400,12
58,382,1387,38016,5
59,1903,1396,28260,5
60,172,1356,31185,8
61,1329,1392,31806,8
62,690,1243,713856,80
63,1111,1398,12992,1
64,1466,1420,18765,3
65,503,1412,17408,1
66,1003,1436,23023,4
67,1640,1481,38270,10
68,865,1465,48396,10
69,173,1490,14766,2
70,300,1508,53652,11
71,699,1533,11554,0
72,1742,1565,28223,3
73,114,1627,35074,2
74,1023,1582,28120,5
75,330,1613,31488,7
76,1195,1506,74061,13
77,201,1631,17324,1
78,546,1664,26400,4
79,1175,1661,87580,24
80,1443,1654,51912,3
81,808,1675,27224,6
82,395,1690,21164,2
83,1708,1741,20562,5
84,1831,1737,22425,2
85,449,1794,16799,0
86,614,1769,87725,6
87,703,1860,46593,5
88,179,1816,25116,4
89,1501,1838,37286,7
90,1293,1855,24955,7
91,308,1863,15496,0
92,1866,1913,14835,2
93,539,1900,25026,5
94,1977,1908,12688,4
95,76,1922,20898,2
96,1149,1906,43968,4
97,1692,1924,35319,5
